arvore_grande20: .word 16, 16
.byte 3,10,1,1,1,1,1,3,1,1,3,1,1,1,1,1,
1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,
10,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,
10,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,
10,1,1,3,3,3,3,10,10,10,1,1,1,1,1,1,
3,1,3,10,10,10,10,1,1,1,1,1,1,1,1,1,
3,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,
10,10,1,1,1,1,3,3,1,1,3,3,3,1,1,1,
10,1,1,1,1,1,1,1,3,3,10,1,1,1,1,1,
10,1,1,1,1,1,1,1,3,10,1,1,1,1,1,1,
10,1,1,1,1,1,1,3,10,1,1,1,1,3,1,1,
10,1,1,1,1,1,1,10,1,1,1,1,1,3,1,1,
10,3,1,1,1,1,3,10,1,1,1,1,1,3,1,1,
3,10,1,1,3,3,10,1,1,1,1,1,3,1,1,1,


